district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Adilabad,Adilabad Rural,10.0,2024,0.4500,1.2366,0.00,batch_0
Adilabad,Adilabad Urban,10.0,2024,0.3272,1.1467,0.00,batch_0
Adilabad,Bazarhathnoor,10.0,2024,0.4092,1.3978,0.00,batch_0
Adilabad,Bheempoor,10.0,2024,0.4570,1.2519,0.00,batch_0
Adilabad,Boath,10.0,2024,0.3967,1.4723,0.00,batch_0
Adilabad,Gadiguda,10.0,2024,0.3720,1.2024,0.00,batch_0
Adilabad,Gudihathnur,10.0,2024,0.4142,1.1833,0.00,batch_0
Adilabad,Ichoda,10.0,2024,0.3760,1.2729,0.00,batch_0
Adilabad,Inderavelly,10.0,2024,0.3675,1.1959,0.00,batch_0
Adilabad,Jainad,10.0,2024,0.3939,1.2160,0.00,batch_0
Adilabad,Narnoor,10.0,2024,0.3821,1.2341,0.00,batch_0
Adilabad,Neradigonda,10.0,2024,0.4133,1.3564,0.00,batch_0
Adilabad,Sirikonda,10.0,2024,0.3239,1.3274,0.00,batch_0
Adilabad,Talamadugu,10.0,2024,0.4553,1.2600,0.00,batch_0
Adilabad,Tamsi,10.0,2024,0.4436,1.1910,0.00,batch_0
Adilabad,Utnur,10.0,2024,0.3167,1.2691,0.00,batch_0
Adilabad,Mavala,10.0,2024,0.3923,1.1253,0.00,batch_0
Adilabad,Sathnala,10.0,2024,0.4423,1.2848,0.00,batch_0
Adilabad,Bhoraj,10.0,2024,0.4692,1.2141,0.00,batch_0
Adilabad,Sonala,10.0,2024,0.3860,1.5424,0.00,batch_0
Adilabad,Bela,10.0,2024,0.4733,1.2208,0.00,batch_0
Adilabad,Adilabad Rural,12.0,2024,0.2970,0.0436,0.00,batch_0
Adilabad,Adilabad Urban,12.0,2024,0.2335,0.0341,0.00,batch_0
Adilabad,Bazarhathnoor,12.0,2024,0.2848,0.0540,0.00,batch_0
Adilabad,Bheempoor,12.0,2024,0.2812,0.0502,0.00,batch_0
Adilabad,Boath,12.0,2024,0.2921,0.0493,0.00,batch_0
Adilabad,Gadiguda,12.0,2024,0.2505,0.0000,0.00,batch_0
