district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Rajanna Sircilla,Boinpalli,10.0,2024,0.0000,1.1795,0.00,batch_24
Rajanna Sircilla,Chendurthi,10.0,2024,0.0000,1.1681,0.00,batch_24
Rajanna Sircilla,Gambhiraopet,10.0,2024,0.0000,2.0371,0.00,batch_24
Rajanna Sircilla,Illanthakunta,10.0,2024,0.0000,1.6581,0.00,batch_24
Rajanna Sircilla,Konaraopet,10.0,2024,0.0000,1.4669,0.00,batch_24
Rajanna Sircilla,Mustabad,10.0,2024,0.0000,1.8906,0.00,batch_24
Rajanna Sircilla,Rudrangi,10.0,2024,0.0000,1.1208,0.00,batch_24
Rajanna Sircilla,Sircilla,10.0,2024,0.0000,1.5634,0.00,batch_24
Rajanna Sircilla,Thangallapalli,10.0,2024,0.0000,1.6906,0.00,batch_24
Rajanna Sircilla,Veernapalli,10.0,2024,0.0000,1.7156,0.00,batch_24
Rajanna Sircilla,Vemulawada,10.0,2024,0.0000,1.2713,0.00,batch_24
Rajanna Sircilla,Vemulawada Rural,10.0,2024,0.0000,1.2090,0.00,batch_24
Rajanna Sircilla,Yellareddypet,10.0,2024,0.0000,1.8791,0.00,batch_24
Rajanna Sircilla,Boinpalli,12.0,2024,0.1836,0.1242,0.00,batch_24
Rajanna Sircilla,Chendurthi,12.0,2024,0.2683,0.1264,0.00,batch_24
Rajanna Sircilla,Gambhiraopet,12.0,2024,0.2017,0.1597,0.00,batch_24
Rajanna Sircilla,Illanthakunta,12.0,2024,0.2155,0.1356,0.00,batch_24
Rajanna Sircilla,Konaraopet,12.0,2024,0.2256,0.1019,0.00,batch_24
Rajanna Sircilla,Mustabad,12.0,2024,0.1920,0.1640,0.00,batch_24
Rajanna Sircilla,Rudrangi,12.0,2024,0.2707,0.1199,0.00,batch_24
Rajanna Sircilla,Sircilla,12.0,2024,0.2002,0.0949,0.00,batch_24
Rajanna Sircilla,Thangallapalli,12.0,2024,0.1730,0.1082,0.00,batch_24
Rajanna Sircilla,Veernapalli,12.0,2024,0.2717,0.0167,0.00,batch_24
Rajanna Sircilla,Vemulawada,12.0,2024,0.2522,0.1578,0.00,batch_24
Rajanna Sircilla,Vemulawada Rural,12.0,2024,0.2033,0.1587,0.00,batch_24
Rajanna Sircilla,Yellareddypet,12.0,2024,0.2300,0.0820,0.00,batch_24
Rangareddy,Abdullapurmet,10.0,2024,0.2907,2.0636,0.00,batch_24
Rangareddy,Amangal,10.0,2024,0.3825,2.6130,0.00,batch_24
Rangareddy,Balapur,10.0,2024,0.2139,1.9110,0.00,batch_24
Rangareddy,Chevella,10.0,2024,0.3835,2.0608,0.00,batch_24
Rangareddy,Chowdergudem,10.0,2024,0.4345,1.7086,0.00,batch_24
Rangareddy,Farooqnagar,10.0,2024,0.3794,1.9644,0.00,batch_24
Rangareddy,Gandipet,10.0,2024,0.2012,2.0256,0.00,batch_24
Rangareddy,Hayathnagar,10.0,2024,0.2031,2.0262,0.00,batch_24
Rangareddy,Ibrahimpatnam,10.0,2024,0.2264,2.0862,0.00,batch_24
Rangareddy,Kadthal,10.0,2024,0.3807,2.5999,0.00,batch_24
Rangareddy,Kandukur,10.0,2024,0.1979,2.2807,0.00,batch_24
Rangareddy,Keshampeta,10.0,2024,0.3960,2.3040,0.00,batch_24
Rangareddy,Kondurg,10.0,2024,0.4408,1.7854,0.00,batch_24
Rangareddy,Kothur,10.0,2024,0.3616,1.9159,0.00,batch_24
Rangareddy,Madgul,10.0,2024,0.4251,2.7912,0.00,batch_24
Rangareddy,Maheswaram,10.0,2024,0.2389,2.0432,0.00,batch_24
Rangareddy,Manchal,10.0,2024,0.3853,2.4541,0.00,batch_24
Rangareddy,Moinabad,10.0,2024,0.3046,2.1181,0.00,batch_24
Rangareddy,Nandigama,10.0,2024,0.3482,1.8322,0.00,batch_24
Rangareddy,Rajendranagar,10.0,2024,0.2329,1.8861,0.00,batch_24
Rangareddy,Serilingampalle,10.0,2024,0.1777,2.0076,0.00,batch_24
Rangareddy,Shabad,10.0,2024,0.4358,1.7922,0.00,batch_24
Rangareddy,Shamshabad,10.0,2024,0.3019,1.9723,0.00,batch_24
Rangareddy,Shankarpalle,10.0,2024,0.3718,2.0734,0.00,batch_24
Rangareddy,Talakondapally,10.0,2024,0.3826,2.5041,0.00,batch_24
Rangareddy,Yacharam,10.0,2024,0.3073,2.5832,0.00,batch_24
Rangareddy,Saroornagar,10.0,2024,0.1639,2.0098,0.00,batch_24
Rangareddy,Abdullapurmet,12.0,2024,0.2174,0.1882,0.00,batch_24
Rangareddy,Amangal,12.0,2024,0.2584,0.1574,0.00,batch_24
Rangareddy,Balapur,12.0,2024,0.2066,0.2018,0.00,batch_24
Rangareddy,Chevella,12.0,2024,0.2416,0.2180,0.00,batch_24
Rangareddy,Chowdergudem,12.0,2024,0.2345,0.2005,0.00,batch_24
Rangareddy,Farooqnagar,12.0,2024,0.2302,0.2001,0.00,batch_24
Rangareddy,Gandipet,12.0,2024,0.1422,0.2274,0.00,batch_24
Rangareddy,Hayathnagar,12.0,2024,0.1604,0.1756,0.00,batch_24
Rangareddy,Ibrahimpatnam,12.0,2024,0.2234,0.2227,0.00,batch_24
Rangareddy,Kadthal,12.0,2024,0.2448,0.1881,0.00,batch_24
Rangareddy,Kandukur,12.0,2024,0.2130,0.2165,0.00,batch_24
Rangareddy,Keshampeta,12.0,2024,0.2460,0.1857,0.00,batch_24
Rangareddy,Kondurg,12.0,2024,0.2435,0.2179,0.00,batch_24
Rangareddy,Kothur,12.0,2024,0.2396,0.2024,0.00,batch_24
Rangareddy,Madgul,12.0,2024,0.2596,0.0924,0.00,batch_24
Rangareddy,Maheswaram,12.0,2024,0.2262,0.2110,0.00,batch_24
Rangareddy,Manchal,12.0,2024,0.2283,0.2305,0.00,batch_24
Rangareddy,Moinabad,12.0,2024,0.2246,0.2234,0.00,batch_24
Rangareddy,Nandigama,12.0,2024,0.2385,0.2033,0.00,batch_24
Rangareddy,Rajendranagar,12.0,2024,0.1955,0.2109,0.00,batch_24
Rangareddy,Serilingampalle,12.0,2024,0.1770,0.2216,0.00,batch_24
Rangareddy,Shabad,12.0,2024,0.2576,0.2386,0.00,batch_24
Rangareddy,Shamshabad,12.0,2024,0.2526,0.2270,0.00,batch_24
Rangareddy,Shankarpalle,12.0,2024,0.2356,0.2337,0.00,batch_24
Rangareddy,Talakondapally,12.0,2024,0.2402,0.1678,0.00,batch_24
Rangareddy,Yacharam,12.0,2024,0.2189,0.2135,0.00,batch_24
Rangareddy,Saroornagar,12.0,2024,0.1371,0.0560,0.00,batch_24
Sangareddy,Andole,10.0,2024,0.3775,2.2508,0.00,batch_24
Sangareddy,Kohir,10.0,2024,0.3901,2.2197,0.00,batch_24
Sangareddy,Gummadidala,10.0,2024,0.2546,1.7339,0.00,batch_24
Sangareddy,Hathnoora,10.0,2024,0.3657,1.9773,0.00,batch_24
Sangareddy,Jharasangam,10.0,2024,0.4147,2.2234,0.00,batch_24
Sangareddy,Kalher,10.0,2024,0.4037,2.0608,0.00,batch_24
Sangareddy,Kandi,10.0,2024,0.3780,1.9636,0.00,batch_24
Sangareddy,Kondapur,10.0,2024,0.4086,2.1364,0.00,batch_24
Sangareddy,Manoor,10.0,2024,0.3891,2.2767,0.00,batch_24
Sangareddy,Mogudampally,10.0,2024,0.3943,2.2388,0.00,batch_24
Sangareddy,Munipally,10.0,2024,0.3582,2.2399,0.00,batch_24
Sangareddy,Nagalgidda,10.0,2024,0.3790,2.1576,0.00,batch_24
